SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2024,M,24KEENOVHRA,1,1,2024-11-14,4029,4029,Speightsoulcomet,Speightsoulcomet,,,2021-03-05,3,B,F,,BRP,,,,Speightstown,Speightstown,Soul of Comete,Soul of Comete,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,"Highfield Investment Group, Inc",,,,25000.0,,,,,T,2021,0.0,,Soul of Comete,Speightstown,
2024,M,24KEENOVHRA,1,1,2024-11-14,4030,4030,Spenard,Spenard,,,2022-05-19,2,B,C,,SRP,,,,Spun to Run,Spun to Run,Tweeterdini,Tweeterdini,,,,,,0,,,1901-01-01,"Gainesway, Agent for the Estate of John Hendrickson ",,,,Joe Schumer,,,,70000.0,,,,,T,2022,0.0,,Tweeterdini,Spun to Run,
2024,M,24KEENOVHRA,1,1,2024-11-14,4031,4031,Stamp of Approval,Stamp of Approval,,,2021-03-09,3,B,F,,BRP,,,,Nyquist,Nyquist,This Is Magic,This Is Magic,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,This Is Magic,Nyquist,
2024,M,24KEENOVHRA,1,1,2024-11-14,4032,4032,Stubby,Stubby,,,2022-02-16,2,B,F,,BRP,,,,War of Will,War of Will,Treasured Up,Treasured Up,,,,,,0,,,1901-01-01,"Hidden Brook, Agent I ",,,,"Judge Lanier Racing / Z. Madden, Agent",,,,23000.0,,,,,T,2022,0.0,,Treasured Up,War of Will,
2024,M,24KEENOVHRA,1,1,2024-11-14,4033,4033,Sudden Switch,Sudden Switch,,,2021-03-25,3,DB/BR,F,,BRP,,,,Munnings,Munnings,Switched Up,Switched Up,,,,,,0,,,1901-01-01,"Indian Creek, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Switched Up,Munnings,
2024,M,24KEENOVHRA,1,1,2024-11-14,4034,4034,Suncroft,Suncroft,,,2020-03-28,4,B,C,,SRP,,,,Arrogate,Arrogate,Princess Karen,Princess Karen,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent for Juddmonte ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Princess Karen,Arrogate,
2024,M,24KEENOVHRA,1,1,2024-11-14,4035,4035,Sweet Mimi,Sweet Mimi,,,2021-02-26,3,CH,F,,BRP,,,,Good Magic,Good Magic,Rivercane,Rivercane,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent VI ",,,,"R.N.A. (37,000)",,,,37000.0,,,,,T,2021,0.0,,Rivercane,Good Magic,
2024,M,24KEENOVHRA,1,1,2024-11-14,4036,4036,Taboo Hoo,Taboo Hoo,,,2020-03-27,4,DB/BR,F,,BRP,,,,Tonalist,Tonalist,Oh Boo Hoo,Oh Boo Hoo,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent IX ",,,,Christmas & Dunne,,,,8000.0,,,,,T,2020,0.0,,Oh Boo Hoo,Tonalist,
2024,M,24KEENOVHRA,1,1,2024-11-14,4037,4037,Take Your Seats (IRE),Take Your Seats (IRE),,,2021-04-30,3,B,G,,RP,,,,Too Darn Hot (GB),Too Darn Hot (GB),Tarayef (IRE),Tarayef (IRE),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Tarayef (IRE),Too Darn Hot (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4038,4038,Tapit'staleofverve,Tapit'staleofverve,,,2021-02-10,3,CH   ,C,,SRP,,,,Tapit,Tapit,Verve's Tale,Verve's Tale,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Chad Schumer/ KGS,,,,50000.0,,,,,T,2021,0.0,,Verve's Tale,Tapit,
