SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2023,Y,23KEEJAN,1,1,2023-01-09,1,1,Faceineveryflower,Faceineveryflower,,,2010-04-16,14,CH,M,,B,,,,Giant's Causeway,Giant's Causeway,Theverythoughtof U,Theverythoughtof U,,,,,,0,,Catalina Cruiser,2022-04-22,"Pope McLean (Crestwood Farm), Agent V ",,,,Out,,,,0.0,,,,,T,2022,0.0,pregnant,Theverythoughtof U,Giant's Causeway,
2023,Y,23KEEJAN,1,1,2023-01-09,2,2,Factfull,Factfull,,,2014-03-12,10,B,M,,B,,,,The Factor,The Factor,The Hess Express,The Hess Express,,,,,,0,,Practical Joke,2022-04-30,"Hunter Valley Farm, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,pregnant,The Hess Express,The Factor,
2023,Y,23KEEJAN,1,1,2023-01-09,3,3,Catalina Lynne,Catalina Lynne,,,2022-04-06,2,B    ,F,,Y,,,,Catalina Cruiser,Catalina Cruiser,Fashionably Cool,Fashionably Cool,,,,,,0,,,1901-01-01,"Wynnstay Sales, Agent III ",,,,"R.N.A. (14,000)",,,,14000.0,,,,,T,2022,0.0,,Fashionably Cool,Catalina Cruiser,
2023,Y,23KEEJAN,1,1,2023-01-09,4,4,Ballyhooligan,Ballyhooligan,,,2022-01-20,3,DB/BR,C,,Y,,,,McKinzie,McKinzie,Fashion Brand,Fashion Brand,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LXXIX ",,,,Muir Hut Stables,,,,135000.0,,,,,T,2022,0.0,,Fashion Brand,McKinzie,
2023,Y,23KEEJAN,1,1,2023-01-09,5,5,Queen of Deletion,Queen of Deletion,,,2022-03-15,2,GR/RO,F,,Y,,,,Practical Joke,Practical Joke,Feisty Tomboy,Feisty Tomboy,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Feisty Tomboy,Practical Joke,
2023,Y,23KEEJAN,1,1,2023-01-09,6,6,King Lucas,King Lucas,,,2022-05-05,2,B,C,,Y,,,,Flameaway,Flameaway,Fervent,Fervent,,,,,,0,,,1901-01-01,"Vinery Sales, Agent XLVIII ",,,,"R.N.A. (11,000)",,,,11000.0,,,,,T,2022,0.0,,Fervent,Flameaway,
2023,Y,23KEEJAN,1,1,2023-01-09,7,7,Finest Quality,Finest Quality,,,2016-02-23,8,B,M,,B,,,,Quality Road,Quality Road,Jenny's So Great,Jenny's So Great,,,,,,0,,Volatile,2022-04-17,"Vinery Sales, Agent XXXV ",,,,Out,,,,0.0,,,,,T,2022,0.0,pregnant,Jenny's So Great,Quality Road,
2023,Y,23KEEJAN,1,1,2023-01-09,8,8,Fire Assay,Fire Assay,,,2008-03-06,16,DB/BR,M,,B,,,,Medaglia d'Oro,Medaglia d'Oro,Jostle,Jostle,,,,,,0,,Tacitus,2022-06-15,"Denali Stud, Agent IX ",,,,Blazing Forest Stable,,,,6000.0,,,,,T,2022,0.0,pregnant,Jostle,Medaglia d'Oro,
2023,Y,23KEEJAN,1,1,2023-01-09,9,9,Five Star Rampage,Five Star Rampage,,,2013-01-12,12,B,M,,B,,,,Quality Road,Quality Road,Genisa,Genisa,,,,,,0,,Maxfield,2022-05-16,"Taylor Made Sales Agency, Agent LXX ",,,,Out,,,,0.0,,,,,T,2022,0.0,pregnant,Genisa,Quality Road,
2023,Y,23KEEJAN,1,1,2023-01-09,10,10,Go Stormy,Go Stormy,,,2022-02-26,2,B    ,C,,Y,,,,Get Stormy,Get Stormy,Fizzy Friday (GB),Fizzy Friday (GB),,,,,,0,,,1901-01-01,"Greenfield Farms, Agent I ",,,,R.N.A. (0),,,,0.0,,,,,T,2022,0.0,,Fizzy Friday (GB),Get Stormy,
