Unnamed: 22,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,M,23FTNYMIX,2023-10-17,1,1,191,191,No Horse,No Horse,,,2023-04-04,2023,0,GRR,C,,W,,,NY,COMBATANT,COMBATANT,MATINEE EXPRESS,MATINEE EXPRESS,ZENSATIONAL,ZENSATIONAL,,,,0,,HARRY L LANDRY BLOODSTOCK LLC,1901-01-01,HARRY L. LANDRY BLOODSTOCK LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,MATINEE EXPRESS,COMBATANT,ZENSATIONAL,
,2023,M,23FTNYMIX,2023-10-17,1,1,192,192,MAYHAP,MAYHAP,,,2018-04-15,2018,5,B,M,,B,,,KY,BODEMEISTER,BODEMEISTER,SUPPOSEDLY,SUPPOSEDLY,POLISH NUMBERS,POLISH NUMBERS,,,,0,,SARATOGA GLEN FARM LLC,1901-01-01,SARATOGA GLEN FARM AGENT,,,,THOMAS FAMILY ENTERPRISES,,,,1500,,,,,T,0.0,,SUPPOSEDLY,BODEMEISTER,POLISH NUMBERS,
,2023,M,23FTNYMIX,2023-10-17,1,1,193,193,No Horse,No Horse,,,2023-01-15,2023,0,B,C,,W,,,NY,MODERNIST,MODERNIST,METEORIC MATRON,METEORIC MATRON,MINESHAFT,MINESHAFT,,,,0,,TURNING POINT BLOODSTOCK,1901-01-01,TURNING POINT BLOODSTOCK AGENT,,,,CJ RACING STABLE,,,,18000,,,,,T,0.0,,METEORIC MATRON,MODERNIST,MINESHAFT,
,2023,M,23FTNYMIX,2023-10-17,1,1,194,194,No Horse,No Horse,,,2023-04-19,2023,0,B,C,,W,,,NY,VINO ROSSO,VINO ROSSO,MGR TREASURE,MGR TREASURE,OVERANALYZE,OVERANALYZE,,,,0,,TURNING POINT BLOODSTOCK,1901-01-01,TURNING POINT BLOODSTOCK AGENT,,,,ATLANTIC B/S,,,,30000,,,,,T,0.0,,MGR TREASURE,VINO ROSSO,OVERANALYZE,
,2023,M,23FTNYMIX,2023-10-17,1,1,195,195,No Horse,No Horse,,,2023-04-28,2023,0,B,C,,W,,,NY,MODERNIST,MODERNIST,MIA ROSA,MIA ROSA,TEMPLE CITY,TEMPLE CITY,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XII,,,,C & S THOROUGHBREDS,,,,6000,,,,,T,0.0,,MIA ROSA,MODERNIST,TEMPLE CITY,
,2023,M,23FTNYMIX,2023-10-17,1,1,196,196,MIDNIGHT WATCH,MIDNIGHT WATCH,,,2010-01-12,2010,13,CH,M,,B,,,KY,STORMY ATLANTIC,STORMY ATLANTIC,TRADE ONLY,TRADE ONLY,UNBRIDLED,UNBRIDLED,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,MICHAEL SLEZAK AGENT,,,,1500,,,,,T,0.0,,TRADE ONLY,STORMY ATLANTIC,UNBRIDLED,
,2023,M,23FTNYMIX,2023-10-17,1,1,197,197,No Horse,No Horse,,,2023-04-08,2023,0,B,F,,W,,,NY,GALILEAN,GALILEAN,MIDNITESALRIGHT,MIDNITESALRIGHT,MIDNIGHT LUTE,MIDNIGHT LUTE,,,,0,,LILI KOBIELSKI,1901-01-01,THE NEW HILL FARM,,,,NOT SOLD,,,,19000,,,,,T,0.0,,MIDNITESALRIGHT,GALILEAN,MIDNIGHT LUTE,
,2023,M,23FTNYMIX,2023-10-17,1,1,198,198,No Horse,No Horse,,,2023-04-05,2023,0,B,C,,W,,,NY,KING FOR A DAY,KING FOR A DAY,MILKY WHEY GAL,MILKY WHEY GAL,COSMONAUT,COSMONAUT,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT,,,,NOT SOLD,,,,3500,,,,,T,0.0,,MILKY WHEY GAL,KING FOR A DAY,COSMONAUT,
,2023,M,23FTNYMIX,2023-10-17,1,1,199,199,MISCHIEVOUS MOLLY,MISCHIEVOUS MOLLY,,,2020-03-29,2020,3,DKB,M,,B,,,NY,INTO MISCHIEF,INTO MISCHIEF,MOLLYBALL,MOLLYBALL,TAKE CHARGE INDY,TAKE CHARGE INDY,,,,0,,STUART MORRIS,1901-01-01,STUART MORRIS AGENT VI,,,,STEPHEN M VIOLA THOROUGHBREDS LLC,,,,9000,,,,,T,0.0,,MOLLYBALL,INTO MISCHIEF,TAKE CHARGE INDY,
,2023,M,23FTNYMIX,2023-10-17,1,1,200,200,MISLED,MISLED,,,2016-03-28,2016,7,B,M,,B,,,KY,INTO MISCHIEF,INTO MISCHIEF,MARNIER,MARNIER,HENNESSY,HENNESSY,,,,0,,STUART MORRIS,1901-01-01,STUART MORRIS AGENT V,,,,ARKOF FARM,,,,9000,,,,,T,0.0,,MARNIER,INTO MISCHIEF,HENNESSY,
,2023,M,23FTNYMIX,2023-10-17,1,1,201,201,No Horse,No Horse,,,2023-04-12,2023,0,CH,C,,W,,,NY,MAJESTIC CITY,MAJESTIC CITY,MISLED,MISLED,INTO MISCHIEF,INTO MISCHIEF,,,,0,,STUART MORRIS,1901-01-01,STUART MORRIS AGENT V,,,,OUT,,,,0,,,,,T,0.0,,MISLED,MAJESTIC CITY,INTO MISCHIEF,
,2023,M,23FTNYMIX,2023-10-17,1,1,202,202,No Horse,No Horse,,,2023-04-12,2023,0,B,C,,W,,,NY,ROCK YOUR WORLD,ROCK YOUR WORLD,MISS BLARNEY STONE,MISS BLARNEY STONE,DYNAFORMER,DYNAFORMER,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT LX,,,,RICE HORSE,,,,31000,,,,,T,0.0,,MISS BLARNEY STONE,ROCK YOUR WORLD,DYNAFORMER,
,2023,M,23FTNYMIX,2023-10-17,1,1,203,203,MISS BUFF,MISS BUFF,,,2018-02-18,2018,5,CH,M,,B,,,NY,FRIEND OR FOE,FRIEND OR FOE,SPEIGHTFUL AFFAIR,SPEIGHTFUL AFFAIR,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,0,,SEQUEL NEW YORK,1901-01-01,SEQUEL NEW YORK AGENT FOR CHESTER AND MARY BROMAN,,,,SEBASTIAN BERNARD,,,,21000,,,,,T,0.0,,SPEIGHTFUL AFFAIR,FRIEND OR FOE,SPEIGHTSTOWN,
,2023,M,23FTNYMIX,2023-10-17,1,1,204,204,No Horse,No Horse,,,2023-04-13,2023,0,CH,C,,W,,,NY,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,MISSILETOE KISS,MISSILETOE KISS,GOLDEN MISSILE,GOLDEN MISSILE,,,,0,,STUART MORRIS,1901-01-01,STUART MORRIS AGENT IV,,,,NOT SOLD,,,,19000,,,,,T,0.0,,MISSILETOE KISS,GLOBAL CAMPAIGN,GOLDEN MISSILE,
,2023,M,23FTNYMIX,2023-10-17,1,1,205,205,MISSPENNYMISCHIEF,MISSPENNYMISCHIEF,,,2023-03-18,2023,0,DKB,F,,W,,,NY,HONEST MISCHIEF,HONEST MISCHIEF,OLGA PAYNE,OLGA PAYNE,E DUBAI,E DUBAI,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT FOR DOROTHY BAILIN (WHISPER HILL FARM NY),,,,NOT SOLD,,,,9500,,,,,T,0.0,,OLGA PAYNE,HONEST MISCHIEF,E DUBAI,
,2023,M,23FTNYMIX,2023-10-17,1,1,206,206,MISTY DAYLIGHT,MISTY DAYLIGHT,,,2005-04-23,2005,18,B,M,,B,,,VA,SEEKING DAYLIGHT,SEEKING DAYLIGHT,MISTY DANCER,MISTY DANCER,LYPHARD,LYPHARD,,,,0,,GARY & LAUREL LEAST,1901-01-01,FOGGY BOTTOM FARM AGENT,,,,FOGGY BOTTOM FARM,,,,2200,,,,,T,0.0,,MISTY DANCER,SEEKING DAYLIGHT,LYPHARD,
