Unnamed: 21,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,Y,23FTKNOV,2023-11-07,1,1,192,192,TRANSIENT (GB),TRANSIENT (GB),,,2018-04-05,2018,5,CH,M,,RB,,,GB,SEA THE STARS (IRE),SEA THE STARS (IRE),AUTUMN LEAVES (FR),AUTUMN LEAVES (FR),MUHTATHIR (GB),MUHTATHIR (GB),,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,SUGARLOAF LTD,,,,400000,,,,,T,HTML,,AUTUMN LEAVES (FR),SEA THE STARS (IRE),MUHTATHIR (GB),
,2023,Y,23FTKNOV,2023-11-07,1,1,193,193,TRAVEL COLUMN,TRAVEL COLUMN,,,2018-04-10,2018,5,GRR,M,,BP,,,KY,FROSTED,FROSTED,SWINGIT,SWINGIT,VICTORY GALLOP,VICTORY GALLOP,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XLI,,,,SPENDTHRIFT FARM LLC,,,,2000000,,https://youtu.be/R7IpHIyzsXs,,,T,HTML,,SWINGIT,FROSTED,VICTORY GALLOP,
,2023,Y,23FTKNOV,2023-11-07,1,1,194,194,TRIPOLINA,TRIPOLINA,,,2021-01-18,2021,2,B,F,,RB,,,KY,CONSTITUTION,CONSTITUTION,BALLYKISS,BALLYKISS,STREET BOSS,STREET BOSS,,,,0,,,1901-01-01,HILL 'N' DALE AT XALAPA AGENT,,,,OUT,,,,0,,,,,T,HTML,,BALLYKISS,CONSTITUTION,STREET BOSS,
,2023,Y,23FTKNOV,2023-11-07,1,1,195,195,TROPHY GIRL,TROPHY GIRL,,,2013-01-17,2013,10,B,M,,B,,,KY,WARRIOR'S REWARD,WARRIOR'S REWARD,STORM WEST,STORM WEST,GONE WEST,GONE WEST,,,,0,,,1901-01-01,GAINESWAY AGENT I,,,,HUGO MERRY BLOODSTOCK,,,,750000,,,,,T,HTML,,STORM WEST,WARRIOR'S REWARD,GONE WEST,
,2023,Y,23FTKNOV,2023-11-07,1,1,196,196,LADY SHIPMAN,LADY SHIPMAN,,,2012-04-14,2012,11,CH,M,,B,,,KY,MIDSHIPMAN,MIDSHIPMAN,SUMTHINGTOTALKABT,SUMTHINGTOTALKABT,MUTAKDDIM,MUTAKDDIM,,,,0,,,1901-01-01,LANE'S END AGENT FOR RANLO INVESTMENTS LLC,,,,NOT SOLD,,,,1600000,,,,,T,HTML,,SUMTHINGTOTALKABT,MIDSHIPMAN,MUTAKDDIM,
,2023,Y,23FTKNOV,2023-11-07,1,1,197,197,VEGAS MAGIC,VEGAS MAGIC,,,2020-03-03,2020,3,B,F,,RB,,,KY,GOOD MAGIC,GOOD MAGIC,HEIDI MARIA,HEIDI MARIA,ROCKPORT HARBOR,ROCKPORT HARBOR,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XX,,,,SF BLOODSTOCK LLC,,,,410000,,https://youtu.be/S4a4eT3u29g,,,T,HTML,,HEIDI MARIA,GOOD MAGIC,ROCKPORT HARBOR,
,2023,Y,23FTKNOV,2023-11-07,1,1,198,198,VIGUI'S HEART,VIGUI'S HEART,,,2017-04-17,2017,6,DKB,M,,B,,,KY,QUALITY ROAD,QUALITY ROAD,BLUE HEART,BLUE HEART,EXCHANGE RATE,EXCHANGE RATE,,,,0,,,1901-01-01,MILL RIDGE SALES AGENT,,,,PURSUIT OF SUCCESS LLC,,,,525000,,,,,T,HTML,,BLUE HEART,QUALITY ROAD,EXCHANGE RATE,
,2023,Y,23FTKNOV,2023-11-07,1,1,199,199,WONDER BREW,WONDER BREW,,,2012-02-04,2012,11,CH,M,,B,,,KY,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,GINGER BREW,GINGER BREW,MILWAUKEE BREW,MILWAUKEE BREW,,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,NEW GRANGE FARM,,,,310000,,,,,T,HTML,,GINGER BREW,GIANT'S CAUSEWAY,MILWAUKEE BREW,
,2023,Y,23FTKNOV,2023-11-07,1,1,200,200,WONDER WHEEL,WONDER WHEEL,,,2020-02-07,2020,3,DKB,F,,BP,,,KY,INTO MISCHIEF,INTO MISCHIEF,WONDER GAL,WONDER GAL,TIZ WONDERFUL,TIZ WONDERFUL,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT FOR DJ STABLE LLC GRADUATE,,,,KATSUMI YOSHIDA,,,,3200000,,https://youtu.be/-isgokorot4,,,T,HTML,,WONDER GAL,INTO MISCHIEF,TIZ WONDERFUL,
,2023,Y,23FTKNOV,2023-11-07,1,1,201,201,YESTERDAYONCEMORE (IRE),YESTERDAYONCEMORE (IRE),,,2017-03-15,2017,6,B,M,,B,,,IRE,NO NAY NEVER,NO NAY NEVER,DANEHILL'S DREAM (IRE),DANEHILL'S DREAM (IRE),DANEHILL,DANEHILL,,,,0,,,1901-01-01,BALLYSAX BLOODSTOCK AGENT FOR GRANTLEY ACRES,,,,NOT SOLD,,,,325000,,,,,T,HTML,,DANEHILL'S DREAM (IRE),NO NAY NEVER,DANEHILL,
,2023,Y,23FTKNOV,2023-11-07,1,1,202,202,AFFIRMATIVE LADY,AFFIRMATIVE LADY,,,2020-04-16,2020,3,GRR,F,,RB,,,KY,ARROGATE,ARROGATE,STIFFED,STIFFED,STEPHEN GOT EVEN,STEPHEN GOT EVEN,,,,0,,,1901-01-01,ST GEORGE SALES AGENT IV,,,,NOT SOLD,,,,885000,,,,,T,HTML,,STIFFED,ARROGATE,STEPHEN GOT EVEN,
,2023,Y,23FTKNOV,2023-11-07,1,1,203,203,AIN'T EASY,AIN'T EASY,,,2019-04-28,2019,4,B,F,,B,,,KY,INTO MISCHIEF,INTO MISCHIEF,AMERISTRALIA (AUS),AMERISTRALIA (AUS),FASTNET ROCK (AUS),FASTNET ROCK (AUS),,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XXXI,,,,SHADAI FARM,,,,2300000,,,,,T,HTML,,AMERISTRALIA (AUS),INTO MISCHIEF,FASTNET ROCK (AUS),
,2023,Y,23FTKNOV,2023-11-07,1,1,204,204,AMAGANSETT,AMAGANSETT,,,2017-03-11,2017,6,B,M,,B,,,KY,TAPIT,TAPIT,TWIRL (IRE),TWIRL (IRE),GALILEO (IRE),GALILEO (IRE),,,,0,,,1901-01-01,ELITE AGENT,,,,KIMURA HIDENORI CO. LTD,,,,400000,,,,,T,HTML,,TWIRL (IRE),TAPIT,GALILEO (IRE),
,2023,Y,23FTKNOV,2023-11-07,1,1,205,205,AMERICA,AMERICA,,,2011-03-22,2011,12,B,M,,B,,,KY,A.P. INDY,A.P. INDY,LACADENA,LACADENA,FASLIYEV,FASLIYEV,,,,0,,,1901-01-01,ELITE AGENT,,,,NOT SOLD,,,,1200000,,,,,T,HTML,,LACADENA,A.P. INDY,FASLIYEV,
,2023,Y,23FTKNOV,2023-11-07,1,1,206,206,AND TELL ME NOLIES,AND TELL ME NOLIES,,,2020-02-15,2020,3,B,F,,RB,,,KY,ARROGATE,ARROGATE,BE FAIR,BE FAIR,EXCHANGE RATE,EXCHANGE RATE,,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,NARVICK INTL/GRAND STUD,,,,2300000,,,,,T,HTML,,BE FAIR,ARROGATE,EXCHANGE RATE,
,2023,Y,23FTKNOV,2023-11-07,1,1,207,207,ARMONY'S ANGEL,ARMONY'S ANGEL,,,2016-02-11,2016,7,CH,M,,B,,,KY,TO HONOR AND SERVE,TO HONOR AND SERVE,SEEINSBELIEVEN,SEEINSBELIEVEN,CARSON CITY,CARSON CITY,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XI,,,,KATSUMI YOSHIDA,,,,1800000,,,,,T,HTML,,SEEINSBELIEVEN,TO HONOR AND SERVE,CARSON CITY,
,2023,Y,23FTKNOV,2023-11-07,1,1,208,208,AWAKE AT MIDNYTE,AWAKE AT MIDNYTE,,,2019-02-10,2019,4,CH,F,,BP,,,KY,NYQUIST,NYQUIST,MIDNIGHT UNION,MIDNIGHT UNION,UNION RAGS,UNION RAGS,,,,0,,,1901-01-01,KINGSWOOD FARM AGENT,,,,LAKE VILLA FARM,,,,825000,,,,,T,HTML,,MIDNIGHT UNION,NYQUIST,UNION RAGS,
,2023,Y,23FTKNOV,2023-11-07,1,1,209,209,BATTLE BLING,BATTLE BLING,,,2018-03-28,2018,5,DKB,M,,BP,,,KY,VANCOUVER (AUS),VANCOUVER (AUS),SOLEIL ROUGE,SOLEIL ROUGE,E DUBAI,E DUBAI,,,,0,,,1901-01-01,ELITE AGENT,,,,COTEAU GROVE FARMS/CARY BLOODSTOCK AGT,,,,325000,,https://vimeo.com/881378095?share=copy,,,T,HTML,,SOLEIL ROUGE,VANCOUVER (AUS),E DUBAI,
,2023,Y,23FTKNOV,2023-11-07,1,1,210,210,BAY STORM,BAY STORM,,,2018-03-26,2018,5,DKB,M,,RB,,,KY,KANTHAROS,KANTHAROS,STORMY REGATTA,STORMY REGATTA,MIDSHIPMAN,MIDSHIPMAN,,,,0,,,1901-01-01,DENALI STUD AGENT FOR BRIDLEWOOD FARM,,,,CANDY MEADOWS LLC,,,,750000,,,,,T,HTML,,STORMY REGATTA,KANTHAROS,MIDSHIPMAN,
,2023,Y,23FTKNOV,2023-11-07,1,1,211,211,BELLAMORE,BELLAMORE,,,2018-04-23,2018,5,DKB,M,,RB,,,KY,EMPIRE MAKER,EMPIRE MAKER,SMART N SOFT,SMART N SOFT,SMART STRIKE,SMART STRIKE,,,,0,,,1901-01-01,HILL 'N' DALE AT XALAPA AGENT,,,,NOT SOLD,,,,675000,,,,,T,HTML,,SMART N SOFT,EMPIRE MAKER,SMART STRIKE,
,2023,Y,23FTKNOV,2023-11-07,1,1,212,212,BELLE'S FINALE,BELLE'S FINALE,,,2014-05-11,2014,9,B,M,,B,,,KY,GHOSTZAPPER,GHOSTZAPPER,CAPOTE BELLE,CAPOTE BELLE,CAPOTE,CAPOTE,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIV,,,,SUMMER WIND EQUINE,,,,1250000,,https://youtu.be/8iwt4TzOuOw,,,T,HTML,,CAPOTE BELLE,GHOSTZAPPER,CAPOTE,
,2023,Y,23FTKNOV,2023-11-07,1,1,213,213,No Horse,No Horse,,,2023-04-12,2023,0,B,C,,W,,,KY,MAXFIELD,MAXFIELD,BELLE'S FINALE,BELLE'S FINALE,GHOSTZAPPER,GHOSTZAPPER,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIV,,,,ENFUEGO STABLES,,,,500000,,https://youtu.be/Lpgnq2rDgus,,,T,HTML,,BELLE'S FINALE,MAXFIELD,GHOSTZAPPER,
,2023,Y,23FTKNOV,2023-11-07,1,1,214,214,BE YOUR BEST (IRE),BE YOUR BEST (IRE),,,2020-02-27,2020,3,B,F,,RB,,,IRE,MUHAARAR (GB),MUHAARAR (GB),KAMAKURA,KAMAKURA,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,OUT,,,,0,,,,,T,HTML,,KAMAKURA,MUHAARAR (GB),MEDAGLIA D'ORO,
,2023,Y,23FTKNOV,2023-11-07,1,1,215,215,BUBBLE ROCK,BUBBLE ROCK,,,2019-04-07,2019,4,DKB,F,,RB,,,KY,MORE THAN READY,MORE THAN READY,REEF POINT,REEF POINT,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,0,,,1901-01-01,GASPER BLOODSTOCK AGENT,,,,KIA-ORA STUD AUSTRALIA P/L,,,,1500000,,,,,T,HTML,,REEF POINT,MORE THAN READY,GIANT'S CAUSEWAY,
,2023,Y,23FTKNOV,2023-11-07,1,1,216,216,BYRDIE HOWE,BYRDIE HOWE,,,2018-03-11,2018,5,B,M,,B,,,KY,UNCLE MO,UNCLE MO,APT,APT,A.P. INDY,A.P. INDY,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIX,,,,NOT SOLD,,,,270000,,,,,T,HTML,,APT,UNCLE MO,A.P. INDY,
,2023,Y,23FTKNOV,2023-11-07,1,1,217,217,CAFE SOCIETY,CAFE SOCIETY,,,2018-02-07,2018,5,B,M,,B,,,ON,EMPIRE MAKER,EMPIRE MAKER,FULL TAP,FULL TAP,TAPIT,TAPIT,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIX,,,,SF BLOODSTOCK & NEWGATE,,,,290000,,,,,T,HTML,,FULL TAP,EMPIRE MAKER,TAPIT,
,2023,Y,23FTKNOV,2023-11-07,1,1,218,218,CARTOUCHE (IRE),CARTOUCHE (IRE),,,2018-01-02,2018,5,B,M,,B,,,IRE,GALILEO (IRE),GALILEO (IRE),AWESOME MARIA,AWESOME MARIA,MARIA'S MON,MARIA'S MON,,,,0,,,1901-01-01,ELITE AGENT,,,,OUT,,,,0,,,,,T,HTML,,AWESOME MARIA,GALILEO (IRE),MARIA'S MON,
,2023,Y,23FTKNOV,2023-11-07,1,1,219,219,CHARGE IT PLEASE,CHARGE IT PLEASE,,,2017-02-20,2017,6,CH,M,,B,,,KY,WILL TAKE CHARGE,WILL TAKE CHARGE,QUICK FLIP,QUICK FLIP,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XVIII,,,,OUT,,,,0,,,,,T,HTML,,QUICK FLIP,WILL TAKE CHARGE,SPEIGHTSTOWN,
,2023,Y,23FTKNOV,2023-11-07,1,1,220,220,CHOCOLATE GELATO,CHOCOLATE GELATO,,,2020-02-27,2020,3,DKB,F,,BP,,,KY,PRACTICAL JOKE,PRACTICAL JOKE,SPECIAL TREAT,SPECIAL TREAT,CANDY RIDE (ARG),CANDY RIDE (ARG),,,,0,,,1901-01-01,LANE'S END AGENT,,,,NOT SOLD,,,,1150000,,,,,T,HTML,,SPECIAL TREAT,PRACTICAL JOKE,CANDY RIDE (ARG),
,2023,Y,23FTKNOV,2023-11-07,1,1,221,221,CLASSIQUE,CLASSIQUE,,,2018-02-13,2018,5,DKB,M,,B,,,KY,PIONEEROF THE NILE,PIONEEROF THE NILE,EMBELLISH THE LACE,EMBELLISH THE LACE,SUPER SAVER,SUPER SAVER,,,,0,,,1901-01-01,HILL 'N' DALE AT XALAPA AGENT,,,,KILLORA STUD LLC,,,,425000,,,,,T,HTML,,EMBELLISH THE LACE,PIONEEROF THE NILE,SUPER SAVER,
,2023,Y,23FTKNOV,2023-11-07,1,1,222,222,COVER VERSION,COVER VERSION,,,2015-04-02,2015,8,B,M,,B,,,KY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,VAGUELY FAMILIAR,VAGUELY FAMILIAR,A.P. INDY,A.P. INDY,,,,0,,,1901-01-01,BUCKLAND SALES (ZACH MADDEN) AGENT I,,,,ALISTAIR RODEN AGENT FOR MKW RACING & BREEDING,,,,200000,,,,,T,HTML,,VAGUELY FAMILIAR,MEDAGLIA D'ORO,A.P. INDY,
,2023,Y,23FTKNOV,2023-11-07,1,1,223,223,DARK CHARM,DARK CHARM,,,2018-05-29,2018,5,DKB,M,,B,,,KY,MORE THAN READY,MORE THAN READY,ROSALIE ROAD,ROSALIE ROAD,STREET CRY (IRE),STREET CRY (IRE),,,,0,,,1901-01-01,LANE'S END AGENT,,,,GRANTLEY ACRES,,,,100000,,,,,T,HTML,,ROSALIE ROAD,MORE THAN READY,STREET CRY (IRE),
,2023,Y,23FTKNOV,2023-11-07,1,1,224,224,DIDIA (ARG),DIDIA (ARG),,,2018-10-26,2018,5,B,M,,RB,,,ARG,ORPEN,ORPEN,DELAMBRE (BRZ),DELAMBRE (BRZ),RAINBOW CORNER (GB),RAINBOW CORNER (GB),,,,0,,,1901-01-01,BLUEGRASS THOROUGHBRED SERVICES INC. AGENT FOR MERRIEBELLE STABLE,,,,OUT,,,,0,,,,,T,HTML,,DELAMBRE (BRZ),ORPEN,RAINBOW CORNER (GB),
,2023,Y,23FTKNOV,2023-11-07,1,1,225,225,DONTMESSWITHJAMMER,DONTMESSWITHJAMMER,,,2019-04-02,2019,4,B,F,,BP,,,KY,CANDY RIDE (ARG),CANDY RIDE (ARG),WELL LIVED,WELL LIVED,TIZNOW,TIZNOW,,,,0,,,1901-01-01,VINERY SALES AGENT II,,,,DELTA THOROUGHBREDS,,,,145000,,,,,T,HTML,,WELL LIVED,CANDY RIDE (ARG),TIZNOW,
,2023,Y,23FTKNOV,2023-11-07,1,1,226,226,DYNAMOTOR,DYNAMOTOR,,,2011-05-11,2011,12,DKB,M,,B,,,KY,DYNAFORMER,DYNAFORMER,MY CHICKADEE,MY CHICKADEE,PLEASANT TAP,PLEASANT TAP,,,,0,,,1901-01-01,POPE MCLEAN (CRESTWOOD FARM) AGENT II,,,,NOT SOLD,,,,290000,,,,,T,HTML,,MY CHICKADEE,DYNAFORMER,PLEASANT TAP,
,2023,Y,23FTKNOV,2023-11-07,1,1,227,227,EDWINA E,EDWINA E,,,2012-04-18,2012,11,CH,M,,B,,,CA,SQUARE EDDIE,SQUARE EDDIE,ELECTRIC DAZE,ELECTRIC DAZE,GILDED TIME,GILDED TIME,,,,0,,,1901-01-01,KINGSWOOD FARM AGENT,,,,NOT SOLD,,,,1200000,,,,,T,HTML,,ELECTRIC DAZE,SQUARE EDDIE,GILDED TIME,
