SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,Y,22KEESEPT,1,6,2022-09-18,1659,1659,Bergen,Bergen,,,1900-01-01,125,GR/RO,C,,Y,,,,Liam's Map,Liam's Map,Toni's Hollyday,Toni's Hollyday,,,,,,0,,,1901-01-01,"Paramount Sales, Agent XCIX ",,,,"R.N.A. (205,000)",,,,205000.0,,,,,T,2021,0.0,,Toni's Hollyday,Liam's Map,
2022,Y,22KEESEPT,1,6,2022-09-18,1660,1660,Backstretch,Backstretch,,,1900-01-01,125,GR/RO,C,,Y,,,,Uncle Mo,Uncle Mo,Totally Tucker,Totally Tucker,,,,,,0,,,1901-01-01,"Woodford Thoroughbreds, Agent I ",,,,"Equinox, Inc, Agent for George Sharp",,,,30000.0,,,,,T,2021,0.0,,Totally Tucker,Uncle Mo,
2022,Y,22KEESEPT,1,6,2022-09-18,1661,1661,Fainor's Filets,Fainor's Filets,,,1900-01-01,125,CH,F,,Y,,,,Preservationist,Preservationist,Town Grad,Town Grad,,,,,,0,,,1901-01-01,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,,,HR Bloodstock,,,,70000.0,,,,,T,2021,0.0,,Town Grad,Preservationist,
2022,Y,22KEESEPT,1,6,2022-09-18,1662,1662,Charnico,Charnico,,,1900-01-01,125,DB/BR,C,,Y,,,,Arrogate,Arrogate,Transportation,Transportation,,,,,,0,,,1901-01-01,Hinkle Farms ,,,,"Anderson Stables LLC, Brad Anderson",,,,240000.0,,,,,T,2021,0.0,,Transportation,Arrogate,
2022,Y,22KEESEPT,1,6,2022-09-18,1663,1663,Moonlight Gambler,Moonlight Gambler,,,1900-01-01,125,B,F,,Y,,,,Malibu Moon,Malibu Moon,Treasured Up,Treasured Up,,,,,,0,,,1901-01-01,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,,,"Ben Colebrook, Agent",,,,155000.0,,,,,T,2021,0.0,,Treasured Up,Malibu Moon,
2022,Y,22KEESEPT,1,6,2022-09-18,1664,1664,Connive,Connive,,,1900-01-01,125,DB/BR,F,,Y,,,,Flatter,Flatter,Tricky One,Tricky One,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent CVI ",,,,"R.N.A. (70,000)",,,,70000.0,,,,,T,2021,0.0,,Tricky One,Flatter,
2022,Y,22KEESEPT,1,6,2022-09-18,1665,1665,No Horse,No Horse,,,1900-01-01,125,CH   ,C,,Y,,,,Omaha Beach,Omaha Beach,Trishas Even,Trishas Even,,,,,,0,,,1901-01-01,"Knockgriffin Farm, Agent I ",,,,"R.N.A. (45,000)",,,,45000.0,,,,,T,2021,0.0,,Trishas Even,Omaha Beach,
2022,Y,22KEESEPT,1,6,2022-09-18,1666,1666,Connectamundo,Connectamundo,,,1900-01-01,125,B,C,,Y,,,,Connect,Connect,Turn to Lass,Turn to Lass,,,,,,0,,,1901-01-01,"Hurstland Farm (Alfred H. Nuckols, Jr.), Agent II ",,,,AMC Stables,,,,20000.0,,,,,T,2021,0.0,,Turn to Lass,Connect,
2022,Y,22KEESEPT,1,6,2022-09-18,1667,1667,Tuscan Ruler,Tuscan Ruler,,,1900-01-01,125,DB/BR,C,,Y,,,,More Than Ready,More Than Ready,Tuscan Chianti,Tuscan Chianti,,,,,,0,,,1901-01-01,"Paramount Sales, Agent CIV ",,,,Paul Neatherlin,,,,52000.0,,,,,T,2021,0.0,,Tuscan Chianti,More Than Ready,
2022,Y,22KEESEPT,1,6,2022-09-18,1668,1668,Outsized Impact,Outsized Impact,,,1900-01-01,125,CH,F,,Y,,,,Good Magic,Good Magic,Twiga,Twiga,,,,,,0,,,1901-01-01,"Indian Creek, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Twiga,Good Magic,
2022,Y,22KEESEPT,1,6,2022-09-18,1669,1669,Value Engineer,Value Engineer,,,1900-01-01,125,DB/BR,C,,Y,,,,Twirling Candy,Twirling Candy,Una Mac Cool,Una Mac Cool,,,,,,0,,,1901-01-01,Mt. Brilliant Farm ,,,,HR Bloodstock,,,,100000.0,,,,,T,2021,0.0,,Una Mac Cool,Twirling Candy,
2022,Y,22KEESEPT,1,6,2022-09-18,1670,1670,Made an Offer,Made an Offer,,,1900-01-01,125,GR/RO,F,,Y,,,,Twirling Candy,Twirling Candy,Uncontrolled,Uncontrolled,,,,,,0,,,1901-01-01,KatieRich Farms ,,,,Wayne R. Sanders & Kat Kirk,,,,75000.0,,,,,T,2021,0.0,,Uncontrolled,Twirling Candy,
2022,Y,22KEESEPT,1,6,2022-09-18,1671,1671,Ursuline,Ursuline,,,1900-01-01,125,B,F,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Ursula,Ursula,,,,,,0,,,1901-01-01,Mt. Brilliant Farm ,,,,CJ Thoroughbreds,,,,270000.0,,,,,T,2021,0.0,,Ursula,Medaglia d'Oro,
2022,Y,22KEESEPT,1,6,2022-09-18,1672,1672,Pass the Hat,Pass the Hat,,,1900-01-01,125,CH,C,,Y,,,,Collected,Collected,Veronique,Veronique,,,,,,0,,,1901-01-01,"Stone Farm, Agent ",,,,Lynnhaven Racing,,,,300000.0,,,,,T,2021,0.0,,Veronique,Collected,
2022,Y,22KEESEPT,1,6,2022-09-18,1673,1673,Victorious Nyquist,Victorious Nyquist,,,1900-01-01,125,B,F,,Y,,,,Nyquist,Nyquist,Victorious Ami,Victorious Ami,,,,,,0,,,1901-01-01,"Warrendale Sales, Agent for Tall Oaks Farm ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Victorious Ami,Nyquist,
2022,Y,22KEESEPT,1,6,2022-09-18,1674,1674,Vensky Val,Vensky Val,,,1900-01-01,125,B,C,,Y,,,,Nyquist,Nyquist,Virtuoso,Virtuoso,,,,,,0,,,1901-01-01,"Warrendale Sales, Agent II ",,,,Kinga Farm,,,,40000.0,,,,,T,2021,0.0,,Virtuoso,Nyquist,
2022,Y,22KEESEPT,1,6,2022-09-18,1675,1675,Queen Berkeley,Queen Berkeley,,,1900-01-01,125,B    ,F,,Y,,,,Constitution,Constitution,Vite,Vite,,,,,,0,,,1901-01-01,"Mulholland Springs, Agent X ",,,,Westlake Racing Stable LLC,,,,20000.0,,,,,T,2021,0.0,,Vite,Constitution,
2022,Y,22KEESEPT,1,6,2022-09-18,1676,1676,Five o' Somewhere,Five o' Somewhere,,,1900-01-01,125,B,C,,Y,,,,Munnings,Munnings,Viva Sheila,Viva Sheila,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent CXXVII ",,,,Marilyn Palazzo / Kenneth Spraggins,,,,30000.0,,,,,T,2021,0.0,,Viva Sheila,Munnings,
2022,Y,22KEESEPT,1,6,2022-09-18,1677,1677,Fay's Rhonda Cares,Fay's Rhonda Cares,,,1900-01-01,125,CH,F,,Y,,,,Mendelssohn,Mendelssohn,Vulcan Rose,Vulcan Rose,,,,,,0,,,1901-01-01,"Susan Y. Foreman, Agent ",,,,"H.H., Agent",,,,100000.0,,,,,T,2021,0.0,,Vulcan Rose,Mendelssohn,
