SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,M,22KEEJAN,1,1,2022-01-10,47,47,Claret Beret,Claret Beret,,,2021-04-29,3,B,F,,Y,,,,Not This Time,Not This Time,Bessie M,Bessie M,,,,,,0,,,1901-01-01,"Bedouin Bloodstock, Agent II ",,,,"Peter Pugh, Agent for Cherry Knoll Farm.",,,,85000.0,,,,,T,2021,0.0,,Bessie M,Not This Time,
2022,M,22KEEJAN,1,1,2022-01-10,48,48,Petite Ange,Petite Ange,,,2021-02-15,4,B,F,,Y,,,,Goldencents,Goldencents,Big Maple,Big Maple,,,,,,0,,,1901-01-01,"Baldwin Bloodstock, Agent V ",,,,Big Bear Bloodstock,,,,15000.0,,,,,T,2021,0.0,,Big Maple,Goldencents,
2022,M,22KEEJAN,1,1,2022-01-10,49,49,Valhalla Vixen,Valhalla Vixen,,,2021-05-21,3,DB/BR,F,,Y,,,,Mitole,Mitole,Bird House,Bird House,,,,,,0,,,1901-01-01,"Legacy Bloodstock, Agent II ",,,,"R.N.A. (47,000)",,,,47000.0,,,,,T,2021,0.0,,Bird House,Mitole,
2022,M,22KEEJAN,1,1,2022-01-10,50,50,Birkin Bag (BRZ),Birkin Bag (BRZ),,,2011-07-07,13,B,M,,B,,,,Elusive Quality,Elusive Quality,Princesa Rafaela,Princesa Rafaela,,,,,,0,,Volatile,2021-03-13,"Taylor Made Sales Agency, Agent LXIX ",,,,"R.N.A. (15,000)",,,,15000.0,,,,,T,2011,0.0,pregnant,Princesa Rafaela,Elusive Quality,
2022,M,22KEEJAN,1,1,2022-01-10,51,51,Mandatory Meeting,Mandatory Meeting,,,2021-03-25,3,CH   ,C,,Y,,,,Lookin At Lucky,Lookin At Lucky,Bitty Kitty,Bitty Kitty,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Grand Hill Farm,,,,23000.0,,,,,T,2021,0.0,,Bitty Kitty,Lookin At Lucky,
2022,M,22KEEJAN,1,1,2022-01-10,52,52,Maci's World,Maci's World,,,2021-02-09,4,B    ,F,,Y,,,,Lord Nelson,Lord Nelson,Blue,Blue,,,,,,0,,,1901-01-01,"Hill 'n' Dale Sales Agency, Agent ",,,,Kriya Stables,,,,7000.0,,,,,T,2021,0.0,,Blue,Lord Nelson,
2022,M,22KEEJAN,1,1,2022-01-10,53,53,Pleaseusetheportal,Pleaseusetheportal,,,2021-01-21,4,B,C,,Y,,,,Mendelssohn,Mendelssohn,Bridgette Bordeaux,Bridgette Bordeaux,,,,,,0,,,1901-01-01,"Buckland Sales (Zach Madden), Agent XLIII ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Bridgette Bordeaux,Mendelssohn,
2022,M,22KEEJAN,1,1,2022-01-10,54,54,Broad Stripes,Broad Stripes,,,2013-02-21,11,B,M,,B,,,,Bernardini,Bernardini,Viva La Flag,Viva La Flag,,,,,,0,,Maximum Security,2021-04-27,"Vinery Sales, Agent XI ",,,,"3C Thoroughbreds, LLC",,,,20000.0,,,,,T,2013,0.0,pregnant,Viva La Flag,Bernardini,
2022,M,22KEEJAN,1,1,2022-01-10,55,55,Kozak Spirit,Kozak Spirit,,,2021-03-19,3,DB/BR,F,,Y,,,,Classic Empire,Classic Empire,Brown Eyed Mary,Brown Eyed Mary,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,"R.N.A. (22,000)",,,,22000.0,,,,,T,2021,0.0,,Brown Eyed Mary,Classic Empire,
2022,M,22KEEJAN,1,1,2022-01-10,56,56,Brush With the Law (IRE),Brush With the Law (IRE),,,2019-02-15,6,B,F,,BRP,,,,Caravaggio,Caravaggio,Surprisingly (IRE),Surprisingly (IRE),,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent XXVIII ",,,,Double O Racing,,,,27000.0,,,,,T,2019,0.0,,Surprisingly (IRE),Caravaggio,
2022,M,22KEEJAN,1,1,2022-01-10,57,57,Burnt Island,Burnt Island,,,2014-01-31,11,CH,M,,B,,,,Hard Spun,Hard Spun,Nottawasaga,Nottawasaga,,,,,,0,,Yorkton,2021-03-21,"Pope McLean (Crestwood Farm), Agent I ",,,,"Sir Frederick Stables, LLC",,,,5000.0,,,,,T,2014,0.0,pregnant,Nottawasaga,Hard Spun,
2022,M,22KEEJAN,1,1,2022-01-10,58,58,Butterfly Soul,Butterfly Soul,,,2010-02-27,14,GR/RO,M,,B,,,,Henny Hughes,Henny Hughes,Zada Rae,Zada Rae,,,,,,0,,Frosted,2021-04-18,"Summerfield (Francis and Barbara Vanlangendonck), Agent XXII ",,,,"R.N.A. (55,000)",,,,55000.0,,,,,T,2010,0.0,pregnant,Zada Rae,Henny Hughes,
2022,M,22KEEJAN,1,1,2022-01-10,59,59,Cafetiere,Cafetiere,,,2012-03-07,12,B,M,,B,,,,Elusive Quality,Elusive Quality,Frisk Her,Frisk Her,,,,,,0,,Classic Empire,2021-05-03,"Burleson Farms, Agent ",,,,K S A Farm,,,,6000.0,,,,,T,2012,0.0,pregnant,Frisk Her,Elusive Quality,
